word,kata_keterangan,preposisi,kata_kerja,interjeksi,kata_ganti,konjungsi,kata_sifat,kata_benda,kata_bilangan
acang,0,0,0,0,0,0,0,0,0
acang-acang,0,0,0,0,0,0,0,1,0
adam,0,0,0,0,0,0,0,0,0
acap,0,0,0,0,0,0,1,0,0
acar,0,0,0,0,0,0,0,1,0
acara,0,0,0,0,0,0,0,1,0
mengacarakan,0,0,1,0,0,0,0,0,0
acaram,0,0,0,0,0,0,0,1,0
acat,0,0,0,0,0,0,0,0,0
acatan,0,0,0,0,0,0,0,1,0
acawi,0,0,0,0,0,0,0,0,0
acerang,0,0,0,0,0,0,0,0,0
aci,0,0,0,0,0,0,1,0,0
mengacikan,0,0,1,0,0,0,0,0,0
aci-aci,0,0,0,0,0,0,0,1,0
mengaci-acikan,0,0,1,0,0,0,0,0,0
aci-acian,0,0,0,0,0,0,0,1,0
aci-acinya,1,0,0,0,0,0,0,0,0
acik,0,0,0,0,0,0,0,0,0
aco-acoan,0,0,0,0,0,0,1,0,0
acu,0,0,1,0,0,0,0,0,0
mengacu,0,0,1,0,0,0,0,0,0
acuan,0,0,0,0,0,0,0,1,0
cetak,0,0,0,0,0,0,0,0,0
adalah,0,0,1,0,0,0,0,0,0
adalat,0,0,0,0,0,0,0,0,0
mengacukan,0,0,1,0,0,0,0,0,0
acuh,0,0,1,0,0,0,0,0,0
acuhan,0,0,0,0,0,0,0,1,0
acum,0,0,0,0,0,0,0,0,0
mengacum,0,0,1,0,0,0,0,0,0
acung,0,0,1,0,0,0,0,0,0
mengacung,0,0,1,0,0,0,0,0,0
mengacungkan,0,0,1,0,0,0,0,0,0
ada,0,0,1,0,0,0,0,0,0
berada,0,0,1,0,0,0,0,0,0
keberadaan,0,0,0,0,0,0,0,1,0
mengada-ada,0,0,1,0,0,0,0,0,0
pengadaan,0,0,0,0,0,0,0,1,0
keadaan,0,0,0,0,0,0,0,1,0
ada-adanya,1,0,0,0,0,0,0,0,0
ada-adanyakah,1,0,0,0,0,0,0,0,0
seadanya,1,0,0,0,0,0,0,0,0
adab,0,0,0,0,0,0,0,1,0
beradab,0,0,1,0,0,0,0,0,0
peradaban,0,0,0,0,0,0,0,1,0
keadaban,0,0,0,0,0,0,0,1,0
adad,0,0,0,0,0,0,0,0,0
adagio,0,0,0,0,0,0,0,0,0
adagium,0,0,0,0,0,0,0,1,0
adakala,1,0,0,0,0,0,0,0,0
adakalanya,0,0,0,0,0,0,0,0,0
adang,0,0,1,0,0,0,0,0,0
mengadang,0,0,1,0,0,0,0,0,0
mengadangi,0,0,1,0,0,0,0,0,0
mengadang-adangi,0,0,1,0,0,0,0,0,0
mengadangkan,0,0,1,0,0,0,0,0,0
diadang,0,0,1,0,0,0,0,0,0
pengadang,0,0,0,0,0,0,0,1,0
adang-adang,0,0,0,0,0,0,0,0,0
adaptabel,0,0,0,0,0,0,1,0,0
adaptabilitas,0,0,0,0,0,0,0,1,0
adaptasi,0,0,0,0,0,0,0,1,0
mengadaptasikan,0,0,1,0,0,0,0,0,0
pengadaptasian,0,0,0,0,0,0,0,1,0
adaptif,0,0,0,0,0,0,1,0,0
adaptor,0,0,0,0,0,0,0,1,0
adar,0,0,0,0,0,0,1,0,0
adas,0,0,0,0,0,0,0,1,0
adat,0,0,0,0,0,0,0,1,0
bilokal,0,0,0,0,0,0,0,0,0
teradat,0,0,1,0,0,0,0,0,0
mengadat,0,0,1,0,0,0,0,0,0
adati,0,0,0,0,0,0,1,0,0
adegan,0,0,0,0,0,0,0,1,0
terbuka,0,0,0,0,0,0,0,0,0
wajib,0,0,0,0,0,0,0,0,0
beradegan,0,0,1,0,0,0,0,0,0
pengadeganan,0,0,0,0,0,0,0,1,0
adem,0,0,0,0,0,0,0,0,0
adempauze,0,0,0,0,0,0,0,0,0
adenoid,0,0,0,0,0,0,0,0,0
adenoma,0,0,0,0,0,0,0,0,0
adi-,0,0,0,0,0,0,0,0,0
adiabatik,0,0,0,0,0,0,0,0,0
adiaktinik,0,0,0,0,0,0,0,0,0
adibangkit,0,0,0,0,0,0,0,1,0
adibibit,0,0,0,0,0,0,0,1,0
adibintang,0,0,0,0,0,0,0,1,0
adiboga,0,0,0,0,0,0,0,1,0
adibusana,0,0,0,0,0,0,0,1,0
adicita,0,0,0,0,0,0,0,0,0
adidaya,0,0,0,0,0,0,1,0,0
adigang,0,0,0,0,0,0,1,0,0
adiguna,0,0,0,0,0,0,1,0,0
adigung,0,0,0,0,0,0,1,0,0
adik,0,0,0,0,0,0,0,1,0
memperadik,0,0,1,0,0,0,0,0,0
adikara,0,0,0,0,0,0,0,0,0
adikarya,0,0,0,0,0,0,0,1,0
adikodrati,0,0,0,0,0,0,1,0,0
adikong,0,0,0,0,0,0,0,1,0
adiksi,0,0,0,0,0,0,0,0,0
adiktif,0,0,0,0,0,0,1,0,0
adikuasa,0,0,0,0,0,0,1,0,0
keadikuasaan,0,0,0,0,0,0,0,1,0
adil,0,0,0,0,0,0,1,0,0
teradil,0,0,0,0,0,0,1,0,0
teradili,0,0,1,0,0,0,0,0,0
peradilan,0,0,0,0,0,0,0,1,0
pengadil,0,0,0,0,0,0,0,1,0
pengadilan,0,0,0,0,0,0,0,1,0
adiluhung,0,0,0,0,0,0,1,0,0
adimarga,0,0,0,0,0,0,0,1,0
adinamia,0,0,0,0,0,0,0,0,0
adinda,0,0,0,0,0,0,0,1,0
ading,0,0,0,0,0,0,0,0,0
adipati,0,0,0,0,0,0,0,1,0
adipenghantar,0,0,0,0,0,0,0,0,0
adiposa,0,0,0,0,0,0,0,0,0
adipositas,0,0,0,0,0,0,0,0,0
adipura,0,0,0,0,0,0,0,1,0
adiraja,0,0,0,0,0,0,0,0,0
adiratna,0,0,0,0,0,0,0,1,0
adisi,0,0,0,0,0,0,0,1,0
adisional,0,0,0,0,0,0,1,0,0
adisiswa,0,0,0,0,0,0,0,1,0
aditama,0,0,0,0,0,0,1,0,0
aditokoh,0,0,0,0,0,0,0,1,0
adiwangsa,0,0,0,0,0,0,0,0,0
adiwarna,0,0,0,0,0,0,1,0,0
adiwidia,0,0,0,0,0,0,0,1,0
adjuvan,0,0,0,0,0,0,0,0,0
administrasi,0,0,0,0,0,0,0,1,0
administratif,0,0,0,0,0,0,1,0,0
administrator,0,0,0,0,0,0,0,1,0
admiral,0,0,0,0,0,0,0,0,0
admisi,0,0,0,0,0,0,0,1,0
admitans,0,0,0,0,0,0,0,0,0
adnan,0,0,0,0,0,0,0,0,0
adopsi,0,0,0,0,0,0,0,1,0
pemungutanmengadopsi,0,0,1,0,0,0,0,0,0
pengadopsian,0,0,0,0,0,0,0,1,0
adoptif,0,0,0,0,0,0,0,0,0
adsorpsi,0,0,0,0,0,0,0,0,0
adu,0,0,1,0,0,0,0,0,0
beradu,0,0,1,0,0,0,0,0,0
lengan,0,0,0,0,0,0,0,0,0
lidah,0,0,0,0,0,0,0,0,0
mulut,0,0,0,0,0,0,0,0,0
mengadu,0,0,1,0,0,0,0,0,0
memperadukan,0,0,1,0,0,0,0,0,0
aduan,0,0,0,0,0,0,0,1,0
pengaduan,0,0,0,0,0,0,0,1,0
mengadudombakan,0,0,1,0,0,0,0,0,0
memperadudombakan,0,0,1,0,0,0,0,0,0
pengadudombaan,0,0,0,0,0,0,0,1,0
aduh,0,0,0,0,0,0,0,0,0
mengaduh,0,0,1,0,0,0,0,0,0
teraduh,0,0,1,0,0,0,0,0,0
aduk,0,0,1,0,0,0,0,0,0
mengaduk,0,0,1,0,0,0,0,0,0
mengaduk-aduk,0,0,1,0,0,0,0,0,0
teraduk,0,0,1,0,0,0,0,0,0
adukan,0,0,0,0,0,0,0,1,0
pengaduk,0,0,0,0,0,0,0,1,0
aduksi,0,0,0,0,0,0,0,1,0
aduktor,0,0,0,0,0,0,0,0,0
adun,0,0,0,0,0,0,0,0,0
mengadunkan,0,0,1,0,0,0,0,0,0
adunan,0,0,0,0,0,0,0,1,0
pengadun,0,0,0,0,0,0,0,1,0
advertorial,0,0,0,0,0,0,0,1,0
advis,0,0,0,0,0,0,0,1,0
advokasi,0,0,0,0,0,0,0,1,0
advokat,0,0,0,0,0,0,0,1,0
aerodinamik,0,0,0,0,0,0,1,0,0
aerolit,0,0,0,0,0,0,0,0,0
afair,0,0,0,0,0,0,0,1,0
afal,0,0,0,0,0,0,0,1,0
afasia,0,0,0,0,0,0,0,0,0
afdal,0,0,0,0,0,0,1,0,0
afdruk,0,0,0,0,0,0,0,0,0
afiat,0,0,0,0,0,0,1,0,0
mengafiatkan,0,0,1,0,0,0,0,0,0
afidavit,0,0,0,0,0,0,0,0,0
afiks,0,0,0,0,0,0,0,0,0
tertutup,0,0,0,0,0,0,0,0,0
afiksasi,0,0,0,0,0,0,0,0,0
aglikon,0,0,0,0,0,0,0,0,0
afiliasi,0,0,0,0,0,0,0,1,0
afinitas,0,0,0,0,0,0,0,1,0
afirmasi,0,0,0,0,0,0,0,1,0
afirmatif,0,0,0,0,0,0,1,0,0
afonia,0,0,0,0,0,0,0,0,0
aforisme,0,0,0,0,0,0,0,0,0
afotik,0,0,0,0,0,0,1,0,0
afrasia,0,0,0,0,0,0,0,0,0
afrikat,0,0,0,0,0,0,0,0,0
afrit,0,0,0,0,0,0,0,1,0
afrodisiak,0,0,0,0,0,0,0,1,0
afsun,0,0,0,0,0,0,0,1,0
afwah,0,0,0,0,0,0,0,1,0
aga,0,0,0,0,0,0,0,1,0
beraga,0,0,1,0,0,0,0,0,0
mengagakan,0,0,1,0,0,0,0,0,0
keagaan,0,0,0,0,0,0,0,1,0
agah,0,0,0,0,0,0,0,0,0
beragah,0,0,1,0,0,0,0,0,0
beragah-agah,0,0,1,0,0,0,0,0,0
agaknya,1,0,0,0,0,0,0,0,0
mengagakkan,0,0,1,0,0,0,0,0,0
teragak,0,0,1,0,0,0,0,0,0
seagak-agak,1,0,0,0,0,0,0,0,0
agal,0,0,0,0,0,0,0,1,0
agalaksia,0,0,0,0,0,0,0,0,0
agam,0,0,0,0,0,0,1,0,0
beragam,0,0,1,0,0,0,0,0,0
agitasi,0,0,0,0,0,0,0,1,0
mengagitasi,0,0,1,0,0,0,0,0,0
agitatif,0,0,0,0,0,0,1,0,0
agitator,0,0,0,0,0,0,0,1,0
butbut,0,0,0,0,0,0,0,1,0
agama,0,0,0,0,0,0,0,1,0
keberagamaan,0,0,0,0,0,0,0,1,0
mengagamakan,0,0,1,0,0,0,0,0,0
keagamaan,0,0,0,0,0,0,0,1,0
agamais,0,0,0,0,0,0,1,0,0
agamawi,0,0,0,0,0,0,1,0,0
agami,0,0,0,0,0,0,0,1,0
agan,0,0,0,0,0,0,0,0,0
beragan,0,0,1,0,0,0,0,0,0
mengagan,0,0,1,0,0,0,0,0,0
mengagani,0,0,1,0,0,0,0,0,0
agar,0,0,0,0,0,0,0,0,0
agar-agar,0,0,0,0,0,0,0,1,0
agas,0,0,0,0,0,0,0,1,0
keagenan,0,0,0,0,0,0,0,1,0
agih,0,0,1,0,0,0,0,0,0
beragih,0,0,1,0,0,0,0,0,0
mengagih,0,0,1,0,0,0,0,0,0
mengagihkan,0,0,1,0,0,0,0,0,0
peragih,0,0,0,0,0,0,0,1,0
pengagihan,0,0,0,0,0,0,0,1,0
agil,0,0,0,0,0,0,0,0,0
agio,0,0,0,0,0,0,0,0,0
agiria,0,0,0,0,0,0,0,0,0
aglomerasi,0,0,0,0,0,0,0,1,0
aglomerat,0,0,0,0,0,0,0,1,0
aglutinasi,0,0,0,0,0,0,0,1,0
aglutinat,0,0,0,0,0,0,0,0,0
aglutinatif,0,0,0,0,0,0,0,0,0
aglutinin,0,0,0,0,0,0,0,1,0
agnosia,0,0,0,0,0,0,0,0,0
agnostik,0,0,0,0,0,0,0,1,0
agnostisisme,0,0,0,0,0,0,0,0,0
agogo,0,0,0,0,0,0,0,1,0
beragogo,0,0,1,0,0,0,0,0,0
agon,0,0,0,0,0,0,0,0,0
agonia,0,0,0,0,0,0,0,0,0
agonis,0,0,0,0,0,0,0,0,0
agonistik,0,0,0,0,0,0,0,0,0
agorafobia,0,0,0,0,0,0,0,0,0
agradasi,0,0,0,0,0,0,0,0,0
agrafia,0,0,0,0,0,0,0,0,0
agraria,0,0,0,0,0,0,0,1,0
agraris,0,0,0,0,0,0,1,0,0
kering,0,0,0,0,0,0,0,0,0
agregatif,0,0,0,0,0,0,1,0,0
mengagresi,0,0,1,0,0,0,0,0,0
ofensif,0,0,0,0,0,0,1,0,0
keagresifan,0,0,0,0,0,0,0,1,0
agriologi,0,0,0,0,0,0,0,0,0
agripnia,0,0,0,0,0,0,0,0,0
agrisilvikultur,0,0,0,0,0,0,0,1,0
agrobis,0,0,0,0,0,0,0,1,0
agrobisnis,0,0,0,0,0,0,0,1,0
agroikos,0,0,0,0,0,0,0,0,0
agroindustri,0,0,0,0,0,0,0,1,0
agrokimia,0,0,0,0,0,0,0,1,0
agrologi,0,0,0,0,0,0,0,1,0
agronom,0,0,0,0,0,0,0,1,0
agronomi,0,0,0,0,0,0,0,1,0
agrostologi,0,0,0,0,0,0,0,1,0
agrowisata,0,0,0,0,0,0,0,1,0
aguk,0,0,0,0,0,0,0,1,0
agul,0,0,0,0,0,0,1,0,0
mengagulkan,0,0,1,0,0,0,0,0,0
agun,0,0,0,0,0,0,0,0,0
mengagunkan,0,0,1,0,0,0,0,0,0
agunan,0,0,0,0,0,0,0,1,0
agung,0,0,0,0,0,0,1,0,0
mengagungkan,0,0,1,0,0,0,0,0,0
agus,0,0,0,0,0,0,0,1,0
agustus,0,0,0,0,0,0,0,1,0
beragustusan,0,0,1,0,0,0,0,0,0
agut,0,0,0,0,0,0,0,0,0
mengagut-agut,0,0,1,0,0,0,0,0,0
agut-agut,0,0,0,0,0,0,0,1,0
ah,0,0,0,0,0,0,0,0,0
ahad,0,0,0,0,0,0,0,1,0
ahadiat,0,0,0,0,0,0,0,0,0
ahimsa,0,0,0,0,0,0,0,1,0
ahistoris,0,0,0,0,0,0,1,0,0
ahkam,0,0,0,0,0,0,0,0,0
mengahlikan,0,0,1,0,0,0,0,0,0
keahlian,0,0,0,0,0,0,0,1,0
ahli,0,0,0,0,0,0,0,1,0
akasia,0,0,0,0,0,0,0,1,0
keahlinegaraan,0,0,0,0,0,0,0,1,0
ahlulbait,0,0,0,0,0,0,0,0,0
ahlulkitab,0,0,0,0,0,0,0,0,0
ahlulkubur,0,0,0,0,0,0,0,0,0
ahlunujum,0,0,0,0,0,0,0,0,0
ahlusuluk,0,0,0,0,0,0,0,0,0
ahlusunah,0,0,0,0,0,0,0,0,0
ahmak,0,0,0,0,0,0,0,0,0
ahmar,0,0,0,0,0,0,0,0,0
aho,0,0,0,0,0,0,0,0,0
ahsan,0,0,0,0,0,0,0,0,0
ahwal,0,0,0,0,0,0,0,1,0
ai,0,0,0,0,0,0,0,0,0
mengaibkan,0,0,1,0,0,0,0,0,0
ain,0,0,0,0,0,0,0,1,0
ainulbanat,0,0,0,0,0,0,0,0,0
ainulyakin,0,0,1,0,0,0,0,0,0
ainunjariah,0,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,1,0
adhesif,0,0,0,0,0,0,0,0,0
agresif,0,0,0,0,0,0,0,0,0
bad,0,0,0,0,0,0,0,0,0
bawaan,0,0,0,0,0,0,0,0,0
celah,0,0,0,0,0,0,0,0,0
garam,0,0,0,0,0,0,0,0,0
gravitasi,0,0,0,0,0,0,0,0,0
kandang,0,0,0,0,0,0,0,0,0
magma,0,0,0,0,0,0,0,0,0
masin,0,0,0,0,0,0,0,0,0
